RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,currTrial,fileName,sid,CongruentOrNot,errorCount,trimData,outlier,
749.6555,Experiment4Metamer_ResponseGroup1.m,2,5,1,1,19,p,0,11,Data_5_1_20141021T144621.mat,9,2,0,749.6555,0,
866.4212,Experiment4Metamer_ResponseGroup1.m,2,2,1,14,19,p,0,12,Data_5_1_20141021T144621.mat,9,2,0,866.4212,0,
690.5359,Experiment4Metamer_ResponseGroup1.m,1,6,1,2,20,q,0,13,Data_5_1_20141021T144621.mat,9,1,0,690.5359,0,
755.9077,Experiment4Metamer_ResponseGroup1.m,2,10,2,18,19,p,0,14,Data_5_1_20141021T144621.mat,9,1,0,755.9077,0,
709.5417,Experiment4Metamer_ResponseGroup1.m,1,3,2,4,20,q,0,16,Data_5_1_20141021T144621.mat,9,2,0,709.5417,0,
774.3181,Experiment4Metamer_ResponseGroup1.m,2,20,1,6,19,p,0,17,Data_5_1_20141021T144621.mat,9,2,0,774.3181,0,
847.763,Experiment4Metamer_ResponseGroup1.m,2,6,1,11,19,p,0,18,Data_5_1_20141021T144621.mat,9,2,0,847.763,0,
724.7312,Experiment4Metamer_ResponseGroup1.m,2,18,2,20,19,p,0,19,Data_5_1_20141021T144621.mat,9,1,0,724.7312,0,
830.6329,Experiment4Metamer_ResponseGroup1.m,1,14,2,14,20,q,0,20,Data_5_1_20141021T144621.mat,9,2,0,830.6329,0,
704.4047,Experiment4Metamer_ResponseGroup1.m,1,19,1,1,20,q,0,21,Data_5_1_20141021T144621.mat,9,1,0,704.4047,0,
898.8933,Experiment4Metamer_ResponseGroup1.m,2,9,1,2,19,p,0,22,Data_5_1_20141021T144621.mat,9,2,0,898.8933,0,
702.1099,Experiment4Metamer_ResponseGroup1.m,1,20,2,4,20,q,0,23,Data_5_1_20141021T144621.mat,9,2,0,702.1099,0,
810.4694,Experiment4Metamer_ResponseGroup1.m,2,19,2,11,19,p,0,24,Data_5_1_20141021T144621.mat,9,1,0,810.4694,0,
765.3221,Experiment4Metamer_ResponseGroup1.m,1,19,1,2,20,q,0,25,Data_5_1_20141021T144621.mat,9,1,0,765.3221,0,
799.2853,Experiment4Metamer_ResponseGroup1.m,2,2,1,11,19,p,0,26,Data_5_1_20141021T144621.mat,9,2,0,799.2853,0,
776.8705,Experiment4Metamer_ResponseGroup1.m,1,20,1,19,20,q,0,27,Data_5_1_20141021T144621.mat,9,1,0,776.8705,0,
791.1576,Experiment4Metamer_ResponseGroup1.m,1,16,2,15,20,q,0,29,Data_5_1_20141021T144621.mat,9,2,0,791.1576,0,
806.2676,Experiment4Metamer_ResponseGroup1.m,2,1,1,15,19,p,0,30,Data_5_1_20141021T144621.mat,9,2,0,806.2676,0,
