RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,currTrial,fileName,sid,CongruentOrNot,trimData,outlier,
1084.3734,Experiment4Metamer_ResponseGroup2.m,2,18,1,4,20,q,0,11,Data_14_2_20141023T135831.mat,5,2,1084.3734,0,
733.2776,Experiment4Metamer_ResponseGroup2.m,2,5,2,13,20,q,0,12,Data_14_2_20141023T135831.mat,5,1,733.2776,0,
1110.038,Experiment4Metamer_ResponseGroup2.m,1,1,1,19,19,p,0,16,Data_14_2_20141023T135831.mat,5,1,1110.038,0,
726.8421,Experiment4Metamer_ResponseGroup2.m,2,4,2,11,20,q,0,17,Data_14_2_20141023T135831.mat,5,1,726.8421,0,
643.9537,Experiment4Metamer_ResponseGroup2.m,2,10,2,12,20,q,0,18,Data_14_2_20141023T135831.mat,5,1,643.9537,0,
594.3755,Experiment4Metamer_ResponseGroup2.m,1,8,1,2,19,p,0,19,Data_14_2_20141023T135831.mat,5,1,594.3755,0,
938.5271,Experiment4Metamer_ResponseGroup2.m,2,9,2,3,20,q,0,20,Data_14_2_20141023T135831.mat,5,1,938.5271,0,
1098.8282,Experiment4Metamer_ResponseGroup2.m,2,10,1,12,20,q,0,21,Data_14_2_20141023T135831.mat,5,2,1098.8282,0,
776.6583,Experiment4Metamer_ResponseGroup2.m,2,9,2,8,20,q,0,22,Data_14_2_20141023T135831.mat,5,1,776.6583,0,
647.1666,Experiment4Metamer_ResponseGroup2.m,1,8,1,20,19,p,0,23,Data_14_2_20141023T135831.mat,5,1,647.1666,0,
1367.5966,Experiment4Metamer_ResponseGroup2.m,2,13,1,15,20,q,0,24,Data_14_2_20141023T135831.mat,5,2,1367.5966,0,
724.2463,Experiment4Metamer_ResponseGroup2.m,1,3,2,14,19,p,0,25,Data_14_2_20141023T135831.mat,5,2,724.2463,0,
593.35,Experiment4Metamer_ResponseGroup2.m,2,20,2,11,20,q,0,26,Data_14_2_20141023T135831.mat,5,1,593.35,0,
781.4813,Experiment4Metamer_ResponseGroup2.m,2,2,2,20,20,q,0,27,Data_14_2_20141023T135831.mat,5,1,781.4813,0,
874.7084,Experiment4Metamer_ResponseGroup2.m,2,8,2,6,20,q,0,29,Data_14_2_20141023T135831.mat,5,1,874.7084,0,
882.7699,Experiment4Metamer_ResponseGroup2.m,2,1,1,3,20,q,0,30,Data_14_2_20141023T135831.mat,5,2,882.7699,0,
991.4755,Experiment4Metamer_ResponseGroup2.m,2,12,2,11,20,q,0,32,Data_14_2_20141023T135831.mat,5,1,991.4755,0,
696.9386,Experiment4Metamer_ResponseGroup2.m,2,20,2,4,20,q,0,33,Data_14_2_20141023T135831.mat,5,1,696.9386,0,
799.2755,Experiment4Metamer_ResponseGroup2.m,1,7,2,14,19,p,0,34,Data_14_2_20141023T135831.mat,5,2,799.2755,0,
757.7893,Experiment4Metamer_ResponseGroup2.m,1,19,2,8,19,p,0,35,Data_14_2_20141023T135831.mat,5,2,757.7893,0,
900.8687,Experiment4Metamer_ResponseGroup2.m,1,16,1,7,19,p,0,36,Data_14_2_20141023T135831.mat,5,1,900.8687,0,
740.5203,Experiment4Metamer_ResponseGroup2.m,1,12,1,15,19,p,0,37,Data_14_2_20141023T135831.mat,5,1,740.5203,0,
633.0946,Experiment4Metamer_ResponseGroup2.m,2,10,1,20,20,q,0,38,Data_14_2_20141023T135831.mat,5,2,633.0946,0,
802.0982,Experiment4Metamer_ResponseGroup2.m,1,16,1,11,19,p,0,39,Data_14_2_20141023T135831.mat,5,1,802.0982,0,
770.5544,Experiment4Metamer_ResponseGroup2.m,2,10,1,11,20,q,0,40,Data_14_2_20141023T135831.mat,5,2,770.5544,0,
688.1652,Experiment4Metamer_ResponseGroup2.m,1,20,2,17,19,p,0,41,Data_14_2_20141023T135831.mat,5,2,688.1652,0,
724.1074,Experiment4Metamer_ResponseGroup2.m,2,6,2,8,20,q,0,42,Data_14_2_20141023T135831.mat,5,1,724.1074,0,
680.0575,Experiment4Metamer_ResponseGroup2.m,2,5,1,9,20,q,0,43,Data_14_2_20141023T135831.mat,5,2,680.0575,0,
580.2741,Experiment4Metamer_ResponseGroup2.m,2,10,2,1,20,q,0,44,Data_14_2_20141023T135831.mat,5,1,580.2741,0,
418.0906,Experiment4Metamer_ResponseGroup2.m,1,3,1,18,19,p,0,45,Data_14_2_20141023T135831.mat,5,1,418.0906,0,
579.3628,Experiment4Metamer_ResponseGroup2.m,2,20,2,16,20,q,0,46,Data_14_2_20141023T135831.mat,5,1,579.3628,0,
705.4303,Experiment4Metamer_ResponseGroup2.m,2,18,1,10,20,q,0,47,Data_14_2_20141023T135831.mat,5,2,705.4303,0,
786.2091,Experiment4Metamer_ResponseGroup2.m,1,4,1,8,19,p,0,48,Data_14_2_20141023T135831.mat,5,1,786.2091,0,
685.5015,Experiment4Metamer_ResponseGroup2.m,2,5,1,16,20,q,0,49,Data_14_2_20141023T135831.mat,5,2,685.5015,0,
467.3268,Experiment4Metamer_ResponseGroup2.m,1,4,1,20,19,p,0,50,Data_14_2_20141023T135831.mat,5,1,467.3268,0,
620.1687,Experiment4Metamer_ResponseGroup2.m,2,12,2,19,20,q,0,52,Data_14_2_20141023T135831.mat,5,1,620.1687,0,
745.2132,Experiment4Metamer_ResponseGroup2.m,2,8,2,10,20,q,0,53,Data_14_2_20141023T135831.mat,5,1,745.2132,0,
510.2754,Experiment4Metamer_ResponseGroup2.m,1,10,2,10,19,p,0,54,Data_14_2_20141023T135831.mat,5,2,510.2754,0,
575.2129,Experiment4Metamer_ResponseGroup2.m,2,19,2,7,20,q,0,55,Data_14_2_20141023T135831.mat,5,1,575.2129,0,
740.9506,Experiment4Metamer_ResponseGroup2.m,1,7,1,3,19,p,0,56,Data_14_2_20141023T135831.mat,5,1,740.9506,0,
828.8431,Experiment4Metamer_ResponseGroup2.m,1,5,2,10,19,p,0,57,Data_14_2_20141023T135831.mat,5,2,828.8431,0,
696.7686,Experiment4Metamer_ResponseGroup2.m,2,4,2,5,20,q,0,58,Data_14_2_20141023T135831.mat,5,1,696.7686,0,
931.6809,Experiment4Metamer_ResponseGroup2.m,2,9,1,17,20,q,0,59,Data_14_2_20141023T135831.mat,5,2,931.6809,0,
743.0802,Experiment4Metamer_ResponseGroup2.m,2,16,2,18,20,q,0,60,Data_14_2_20141023T135831.mat,5,1,743.0802,0,
563.3449,Experiment4Metamer_ResponseGroup2.m,1,7,2,20,19,p,0,61,Data_14_2_20141023T135831.mat,5,2,563.3449,0,
1075.0223,Experiment4Metamer_ResponseGroup2.m,1,4,2,8,19,p,0,62,Data_14_2_20141023T135831.mat,5,2,1075.0223,0,
