RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,currTrial,fileName,sid,CongruentOrNot,trimData,outlier,
1287.2574,Experiment4Metamer_ResponseGroup1.m,1,2,2,13,20,q,0,11,Data_11_1_20141023T110431.mat,2,2,1287.2574,0,
1300.7276,Experiment4Metamer_ResponseGroup1.m,2,14,2,11,19,p,0,13,Data_11_1_20141023T110431.mat,2,1,1300.7276,0,
904.1844,Experiment4Metamer_ResponseGroup1.m,2,6,2,12,19,p,0,14,Data_11_1_20141023T110431.mat,2,1,904.1844,0,
863.6657,Experiment4Metamer_ResponseGroup1.m,2,7,2,5,19,p,0,15,Data_11_1_20141023T110431.mat,2,1,863.6657,0,
1351.1168,Experiment4Metamer_ResponseGroup1.m,2,12,1,19,19,p,0,19,Data_11_1_20141023T110431.mat,2,2,1351.1168,0,
1357.2452,Experiment4Metamer_ResponseGroup1.m,2,2,1,19,19,p,0,20,Data_11_1_20141023T110431.mat,2,2,1357.2452,0,
789.5082,Experiment4Metamer_ResponseGroup1.m,1,8,2,14,20,q,0,21,Data_11_1_20141023T110431.mat,2,2,789.5082,0,
889.0872,Experiment4Metamer_ResponseGroup1.m,2,12,2,1,19,p,0,22,Data_11_1_20141023T110431.mat,2,1,889.0872,0,
964.52,Experiment4Metamer_ResponseGroup1.m,1,3,2,11,20,q,0,23,Data_11_1_20141023T110431.mat,2,2,964.52,0,
1123.2994,Experiment4Metamer_ResponseGroup1.m,1,9,1,11,20,q,0,25,Data_11_1_20141023T110431.mat,2,1,1123.2994,0,
723.6796,Experiment4Metamer_ResponseGroup1.m,2,19,2,2,19,p,0,26,Data_11_1_20141023T110431.mat,2,1,723.6796,0,
998.3688,Experiment4Metamer_ResponseGroup1.m,1,13,1,6,20,q,0,28,Data_11_1_20141023T110431.mat,2,1,998.3688,0,
779.5669,Experiment4Metamer_ResponseGroup1.m,2,3,2,15,19,p,0,29,Data_11_1_20141023T110431.mat,2,1,779.5669,0,
938.3412,Experiment4Metamer_ResponseGroup1.m,2,3,2,16,19,p,0,31,Data_11_1_20141023T110431.mat,2,1,938.3412,0,
792.4557,Experiment4Metamer_ResponseGroup1.m,1,13,1,9,20,q,0,34,Data_11_1_20141023T110431.mat,2,1,792.4557,0,
1008.2506,Experiment4Metamer_ResponseGroup1.m,2,14,2,18,19,p,0,35,Data_11_1_20141023T110431.mat,2,1,1008.2506,0,
1144.7334,Experiment4Metamer_ResponseGroup1.m,2,6,2,3,19,p,0,37,Data_11_1_20141023T110431.mat,2,1,1144.7334,0,
1053.626,Experiment4Metamer_ResponseGroup1.m,2,10,2,10,19,p,0,38,Data_11_1_20141023T110431.mat,2,1,1053.626,0,
771.8777,Experiment4Metamer_ResponseGroup1.m,1,9,2,16,20,q,0,39,Data_11_1_20141023T110431.mat,2,2,771.8777,0,
687.4691,Experiment4Metamer_ResponseGroup1.m,1,20,1,3,20,q,0,40,Data_11_1_20141023T110431.mat,2,1,687.4691,0,
700.7794,Experiment4Metamer_ResponseGroup1.m,1,15,1,2,20,q,0,41,Data_11_1_20141023T110431.mat,2,1,700.7794,0,
646.5028,Experiment4Metamer_ResponseGroup1.m,2,2,1,10,19,p,0,42,Data_11_1_20141023T110431.mat,2,2,646.5028,0,
1002.5508,Experiment4Metamer_ResponseGroup1.m,2,11,2,10,19,p,0,43,Data_11_1_20141023T110431.mat,2,1,1002.5508,0,
765.4345,Experiment4Metamer_ResponseGroup1.m,1,1,2,3,20,q,0,44,Data_11_1_20141023T110431.mat,2,2,765.4345,0,
672.0482,Experiment4Metamer_ResponseGroup1.m,2,11,2,16,19,p,0,45,Data_11_1_20141023T110431.mat,2,1,672.0482,0,
844.1554,Experiment4Metamer_ResponseGroup1.m,2,19,2,3,19,p,0,46,Data_11_1_20141023T110431.mat,2,1,844.1554,0,
596.4102,Experiment4Metamer_ResponseGroup1.m,1,12,2,17,20,q,0,47,Data_11_1_20141023T110431.mat,2,2,596.4102,0,
938.1373,Experiment4Metamer_ResponseGroup1.m,2,16,2,10,19,p,0,48,Data_11_1_20141023T110431.mat,2,1,938.1373,0,
904.7705,Experiment4Metamer_ResponseGroup1.m,1,17,1,8,20,q,0,49,Data_11_1_20141023T110431.mat,2,1,904.7705,0,
1367.8275,Experiment4Metamer_ResponseGroup1.m,2,13,2,20,19,p,0,50,Data_11_1_20141023T110431.mat,2,1,1367.8275,0,
648.9935,Experiment4Metamer_ResponseGroup1.m,1,8,2,17,20,q,0,51,Data_11_1_20141023T110431.mat,2,2,648.9935,0,
660.8415,Experiment4Metamer_ResponseGroup1.m,2,3,2,8,19,p,0,52,Data_11_1_20141023T110431.mat,2,1,660.8415,0,
818.9082,Experiment4Metamer_ResponseGroup1.m,2,17,2,12,19,p,0,53,Data_11_1_20141023T110431.mat,2,1,818.9082,0,
622.0282,Experiment4Metamer_ResponseGroup1.m,1,19,2,1,20,q,0,54,Data_11_1_20141023T110431.mat,2,2,622.0282,0,
913.639,Experiment4Metamer_ResponseGroup1.m,2,1,2,8,19,p,0,55,Data_11_1_20141023T110431.mat,2,1,913.639,0,
616.4341,Experiment4Metamer_ResponseGroup1.m,2,1,2,6,19,p,0,56,Data_11_1_20141023T110431.mat,2,1,616.4341,0,
594.3928,Experiment4Metamer_ResponseGroup1.m,2,13,2,19,19,p,0,57,Data_11_1_20141023T110431.mat,2,1,594.3928,0,
767.4139,Experiment4Metamer_ResponseGroup1.m,2,5,1,13,19,p,0,58,Data_11_1_20141023T110431.mat,2,2,767.4139,0,
1079.2397,Experiment4Metamer_ResponseGroup1.m,1,17,2,1,20,q,0,59,Data_11_1_20141023T110431.mat,2,2,1079.2397,0,
828.3746,Experiment4Metamer_ResponseGroup1.m,1,16,1,2,20,q,0,60,Data_11_1_20141023T110431.mat,2,1,828.3746,0,
659.6531,Experiment4Metamer_ResponseGroup1.m,1,5,2,17,20,q,0,61,Data_11_1_20141023T110431.mat,2,2,659.6531,0,
1102.2863,Experiment4Metamer_ResponseGroup1.m,2,8,1,9,19,p,0,62,Data_11_1_20141023T110431.mat,2,2,1102.2863,0,
714.2718,Experiment4Metamer_ResponseGroup1.m,1,16,1,2,20,q,0,63,Data_11_1_20141023T110431.mat,2,1,714.2718,0,
667.7046,Experiment4Metamer_ResponseGroup1.m,1,11,2,7,20,q,0,64,Data_11_1_20141023T110431.mat,2,2,667.7046,0,
636.2661,Experiment4Metamer_ResponseGroup1.m,2,12,2,5,19,p,0,65,Data_11_1_20141023T110431.mat,2,1,636.2661,0,
702.396,Experiment4Metamer_ResponseGroup1.m,2,3,1,4,19,p,0,67,Data_11_1_20141023T110431.mat,2,2,702.396,0,
766.3961,Experiment4Metamer_ResponseGroup1.m,1,17,2,11,20,q,0,68,Data_11_1_20141023T110431.mat,2,2,766.3961,0,
757.2148,Experiment4Metamer_ResponseGroup1.m,2,15,2,8,19,p,0,69,Data_11_1_20141023T110431.mat,2,1,757.2148,0,
771.8464,Experiment4Metamer_ResponseGroup1.m,1,5,1,18,20,q,0,70,Data_11_1_20141023T110431.mat,2,1,771.8464,0,
810.5932,Experiment4Metamer_ResponseGroup1.m,2,4,1,10,19,p,0,71,Data_11_1_20141023T110431.mat,2,2,810.5932,0,
584.0444,Experiment4Metamer_ResponseGroup1.m,2,1,1,17,19,p,0,72,Data_11_1_20141023T110431.mat,2,2,584.0444,0,
1431.7432,Experiment4Metamer_ResponseGroup1.m,1,2,2,9,20,q,0,74,Data_11_1_20141023T110431.mat,2,2,1431.7432,0,
642.6836,Experiment4Metamer_ResponseGroup1.m,2,18,1,19,19,p,0,75,Data_11_1_20141023T110431.mat,2,2,642.6836,0,
850.1438,Experiment4Metamer_ResponseGroup1.m,1,17,1,7,20,q,0,77,Data_11_1_20141023T110431.mat,2,1,850.1438,0,
755.931,Experiment4Metamer_ResponseGroup1.m,2,20,1,2,19,p,0,78,Data_11_1_20141023T110431.mat,2,2,755.931,0,
812.8741,Experiment4Metamer_ResponseGroup1.m,2,9,1,14,19,p,0,79,Data_11_1_20141023T110431.mat,2,2,812.8741,0,
842.2833,Experiment4Metamer_ResponseGroup1.m,2,15,2,19,19,p,0,80,Data_11_1_20141023T110431.mat,2,1,842.2833,0,
817.8654,Experiment4Metamer_ResponseGroup1.m,2,5,2,17,19,p,0,81,Data_11_1_20141023T110431.mat,2,1,817.8654,0,
711.7958,Experiment4Metamer_ResponseGroup1.m,2,7,1,1,19,p,0,82,Data_11_1_20141023T110431.mat,2,2,711.7958,0,
1079.273,Experiment4Metamer_ResponseGroup1.m,2,17,2,4,19,p,0,84,Data_11_1_20141023T110431.mat,2,1,1079.273,0,
953.6961,Experiment4Metamer_ResponseGroup1.m,1,20,1,2,20,q,0,85,Data_11_1_20141023T110431.mat,2,1,953.6961,0,
