RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,,,,Error rate
888,Experiment4Metamer_ResponseGroup2.m,2,18,1,4,888,888,888,,,,0.090625
888,Experiment4Metamer_ResponseGroup2.m,2,1,1,3,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,2,18,2,3,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,2,12,1,2,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,1,17,1,13,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,2,17,1,8,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,2,12,1,12,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,2,11,1,2,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,1,14,2,9,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,1,11,1,6,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,1,11,1,10,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,1,20,1,18,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,1,4,2,19,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,1,13,1,11,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,1,18,1,17,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,2,7,1,15,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup2.m,2,1,2,10,888,888,888,,,,
1.6845,Experiment4Metamer_ResponseGroup2.m,2,5,2,13,19,p,1,,,,
0.97634,Experiment4Metamer_ResponseGroup2.m,1,20,2,17,20,q,1,,,,
0.93913,Experiment4Metamer_ResponseGroup2.m,2,5,1,16,19,p,1,,,,
1.2874,Experiment4Metamer_ResponseGroup2.m,1,4,1,20,20,q,1,,,,
0.63315,Experiment4Metamer_ResponseGroup2.m,2,9,1,17,19,p,1,,,,
0.86102,Experiment4Metamer_ResponseGroup2.m,1,16,2,11,20,q,1,,,,
0.74391,Experiment4Metamer_ResponseGroup2.m,1,6,1,20,20,q,1,,,,
0.77022,Experiment4Metamer_ResponseGroup2.m,1,9,2,7,20,q,1,,,,
1.7633,Experiment4Metamer_ResponseGroup2.m,1,19,2,5,20,q,1,,,,
1.0802,Experiment4Metamer_ResponseGroup2.m,2,11,2,2,19,p,1,,,,
1.1055,Experiment4Metamer_ResponseGroup2.m,1,18,2,8,20,q,1,,,,
0.7247,Experiment4Metamer_ResponseGroup2.m,1,16,1,8,20,q,1,,,,
1.1368,Experiment4Metamer_ResponseGroup2.m,1,10,1,17,20,q,1,,,,
1.4039,Experiment4Metamer_ResponseGroup2.m,2,9,1,19,19,p,1,,,,
0.88833,Experiment4Metamer_ResponseGroup2.m,2,12,2,12,19,p,1,,,,
1.6492,Experiment4Metamer_ResponseGroup2.m,1,9,1,14,20,q,1,,,,
0.74862,Experiment4Metamer_ResponseGroup2.m,1,3,2,1,20,q,1,,,,
0.6823,Experiment4Metamer_ResponseGroup2.m,1,8,2,8,20,q,1,,,,
1.1413,Experiment4Metamer_ResponseGroup2.m,1,7,1,1,20,q,1,,,,
1.1017,Experiment4Metamer_ResponseGroup2.m,1,18,1,12,20,q,1,,,,
1.1235,Experiment4Metamer_ResponseGroup2.m,2,4,2,6,19,p,1,,,,
1.1092,Experiment4Metamer_ResponseGroup2.m,1,2,1,14,20,q,1,,,,
0.0017968,Experiment4Metamer_ResponseGroup2.m,1,1,2,18,20,q,1,,,,
0.90277,Experiment4Metamer_ResponseGroup2.m,1,20,1,10,20,q,1,,,,
1.4469,Experiment4Metamer_ResponseGroup2.m,2,10,2,20,19,p,1,,,,
0.67663,Experiment4Metamer_ResponseGroup2.m,1,5,1,3,20,q,1,,,,
0.19356,Experiment4Metamer_ResponseGroup2.m,1,2,2,14,20,q,1,,,,
0.17167,Experiment4Metamer_ResponseGroup2.m,1,8,2,3,20,q,1,,,,
1.2562,Experiment4Metamer_ResponseGroup2.m,2,3,2,10,19,p,1,,,,
1.2902,Experiment4Metamer_ResponseGroup2.m,1,7,1,6,20,q,1,,,,
0.7252,Experiment4Metamer_ResponseGroup2.m,1,2,1,16,20,q,1,,,,
0.69802,Experiment4Metamer_ResponseGroup2.m,2,17,1,17,19,p,1,,,,
1.1866,Experiment4Metamer_ResponseGroup2.m,2,17,2,4,19,p,1,,,,
1.8954,Experiment4Metamer_ResponseGroup2.m,2,13,2,12,19,p,1,,,,
1.8049,Experiment4Metamer_ResponseGroup2.m,1,20,2,19,20,q,1,,,,
0.66553,Experiment4Metamer_ResponseGroup2.m,1,9,1,20,20,q,1,,,,
1.437,Experiment4Metamer_ResponseGroup2.m,1,5,2,14,20,q,1,,,,
0.82239,Experiment4Metamer_ResponseGroup2.m,1,20,1,19,20,q,1,,,,
1.8738,Experiment4Metamer_ResponseGroup2.m,2,7,2,3,19,p,1,,,,
1.272,Experiment4Metamer_ResponseGroup2.m,1,16,1,7,20,q,1,,,,
