RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,
1.6149,Experiment4Metamer_ResponseGroup1.m,2,2,1,4,19,p,0,
1.0222,Experiment4Metamer_ResponseGroup1.m,1,1,1,4,20,q,0,
1.2269,Experiment4Metamer_ResponseGroup1.m,1,1,2,2,20,q,0,
0.69845,Experiment4Metamer_ResponseGroup1.m,1,5,1,5,20,q,0,
0.62082,Experiment4Metamer_ResponseGroup1.m,2,1,1,3,19,p,0,
0.67807,Experiment4Metamer_ResponseGroup1.m,2,2,2,5,19,p,0,
0.69674,Experiment4Metamer_ResponseGroup1.m,2,2,2,1,19,p,0,
0.66767,Experiment4Metamer_ResponseGroup1.m,1,4,1,2,20,q,0,
0.58685,Experiment4Metamer_ResponseGroup1.m,2,2,2,5,19,p,0,
0.76725,Experiment4Metamer_ResponseGroup1.m,2,3,2,3,19,p,0,
0.91305,Experiment4Metamer_ResponseGroup1.m,2,5,1,2,19,p,0,
0.55151,Experiment4Metamer_ResponseGroup1.m,1,20,2,5,20,q,0,
0.59347,Experiment4Metamer_ResponseGroup1.m,2,11,1,17,19,p,0,
0.60447,Experiment4Metamer_ResponseGroup1.m,1,10,2,6,20,q,0,
0.55005,Experiment4Metamer_ResponseGroup1.m,1,11,2,9,20,q,0,
1.1885,Experiment4Metamer_ResponseGroup1.m,2,15,2,7,19,p,0,
0.71259,Experiment4Metamer_ResponseGroup1.m,2,7,2,5,19,p,0,
0.70259,Experiment4Metamer_ResponseGroup1.m,1,9,1,3,19,p,1,
0.87115,Experiment4Metamer_ResponseGroup1.m,2,19,2,7,19,p,0,
0.62082,Experiment4Metamer_ResponseGroup1.m,1,8,1,17,20,q,0,
0.63561,Experiment4Metamer_ResponseGroup1.m,2,8,1,20,19,p,0,
0.55217,Experiment4Metamer_ResponseGroup1.m,1,10,1,12,20,q,0,
0.85174,Experiment4Metamer_ResponseGroup1.m,1,14,1,2,20,q,0,
0.63595,Experiment4Metamer_ResponseGroup1.m,2,4,1,18,19,p,0,
0.91461,Experiment4Metamer_ResponseGroup1.m,1,1,2,6,20,q,0,
0.63228,Experiment4Metamer_ResponseGroup1.m,2,4,1,4,19,p,0,
0.97586,Experiment4Metamer_ResponseGroup1.m,1,12,1,1,20,q,0,
0.66988,Experiment4Metamer_ResponseGroup1.m,1,4,1,7,20,q,0,
0.6379,Experiment4Metamer_ResponseGroup1.m,2,6,1,16,19,p,0,
0.78329,Experiment4Metamer_ResponseGroup1.m,2,4,1,6,19,p,0,
0.87724,Experiment4Metamer_ResponseGroup1.m,2,20,1,10,19,p,0,
0.65314,Experiment4Metamer_ResponseGroup1.m,1,11,2,5,20,q,0,
0.6552,Experiment4Metamer_ResponseGroup1.m,2,2,1,16,19,p,0,
0.61246,Experiment4Metamer_ResponseGroup1.m,2,12,1,2,19,p,0,
0.50029,Experiment4Metamer_ResponseGroup1.m,2,11,2,5,19,p,0,
0.51988,Experiment4Metamer_ResponseGroup1.m,2,8,2,19,19,p,0,
0.51708,Experiment4Metamer_ResponseGroup1.m,2,2,1,10,19,p,0,
0.5424,Experiment4Metamer_ResponseGroup1.m,2,16,2,8,19,p,0,
0.5334,Experiment4Metamer_ResponseGroup1.m,1,15,2,9,20,q,0,
0.6683,Experiment4Metamer_ResponseGroup1.m,1,19,1,6,20,q,0,
0.59192,Experiment4Metamer_ResponseGroup1.m,1,13,1,5,20,q,0,
0.52306,Experiment4Metamer_ResponseGroup1.m,1,13,1,6,20,q,0,
0.58031,Experiment4Metamer_ResponseGroup1.m,2,15,2,14,19,p,0,
0.57624,Experiment4Metamer_ResponseGroup1.m,2,18,2,19,19,p,0,
0.62005,Experiment4Metamer_ResponseGroup1.m,1,20,1,7,20,q,0,
1.3266,Experiment4Metamer_ResponseGroup1.m,2,13,2,10,19,p,0,
0.51654,Experiment4Metamer_ResponseGroup1.m,1,13,2,3,20,q,0,
0.92456,Experiment4Metamer_ResponseGroup1.m,1,2,2,18,20,q,0,
0.75355,Experiment4Metamer_ResponseGroup1.m,1,3,1,10,20,q,0,
0.73161,Experiment4Metamer_ResponseGroup1.m,2,12,1,9,19,p,0,
0.65722,Experiment4Metamer_ResponseGroup1.m,1,5,1,15,20,q,0,
0.58749,Experiment4Metamer_ResponseGroup1.m,1,11,1,10,20,q,0,
0.73605,Experiment4Metamer_ResponseGroup1.m,1,2,2,9,20,q,0,
0.61169,Experiment4Metamer_ResponseGroup1.m,1,5,2,2,20,q,0,
0.58209,Experiment4Metamer_ResponseGroup1.m,2,7,2,18,19,p,0,
0.58569,Experiment4Metamer_ResponseGroup1.m,2,6,2,3,20,q,1,
0.66168,Experiment4Metamer_ResponseGroup1.m,1,11,1,15,20,q,0,
0.65862,Experiment4Metamer_ResponseGroup1.m,2,16,1,8,19,p,0,
0.54738,Experiment4Metamer_ResponseGroup1.m,1,4,1,17,20,q,0,
0.61491,Experiment4Metamer_ResponseGroup1.m,1,15,1,10,20,q,0,
0.67713,Experiment4Metamer_ResponseGroup1.m,2,3,2,12,19,p,0,
0.7069,Experiment4Metamer_ResponseGroup1.m,1,7,2,20,20,q,0,
0.82532,Experiment4Metamer_ResponseGroup1.m,1,16,2,1,20,q,0,
0.70029,Experiment4Metamer_ResponseGroup1.m,2,18,2,14,19,p,0,
0.78637,Experiment4Metamer_ResponseGroup1.m,1,18,1,9,20,q,0,
0.8435,Experiment4Metamer_ResponseGroup1.m,2,2,2,4,19,p,0,
0.87024,Experiment4Metamer_ResponseGroup1.m,1,16,1,10,20,q,0,
0.87934,Experiment4Metamer_ResponseGroup1.m,2,1,2,16,19,p,0,
0.82133,Experiment4Metamer_ResponseGroup1.m,1,11,1,19,20,q,0,
0.83184,Experiment4Metamer_ResponseGroup1.m,1,3,1,1,20,q,0,
0.67347,Experiment4Metamer_ResponseGroup1.m,1,1,1,8,20,q,0,
0.85946,Experiment4Metamer_ResponseGroup1.m,2,8,1,19,19,p,0,
0.94076,Experiment4Metamer_ResponseGroup1.m,1,18,2,18,20,q,0,
0.92561,Experiment4Metamer_ResponseGroup1.m,1,14,2,11,20,q,0,
0.88791,Experiment4Metamer_ResponseGroup1.m,2,8,2,6,19,p,0,
0.71731,Experiment4Metamer_ResponseGroup1.m,1,13,1,3,20,q,0,
0.87429,Experiment4Metamer_ResponseGroup1.m,2,7,1,3,19,p,0,
0.98887,Experiment4Metamer_ResponseGroup1.m,2,4,1,11,19,p,0,
0.8533,Experiment4Metamer_ResponseGroup1.m,2,4,1,12,19,p,0,
1.0148,Experiment4Metamer_ResponseGroup1.m,2,8,1,7,19,p,0,
1.1512,Experiment4Metamer_ResponseGroup1.m,2,5,1,7,19,p,0,
