RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,
1.816,Experiment4Metamer_ResponseGroup2.m,1,2,1,1,19,p,0,
0.17976,Experiment4Metamer_ResponseGroup2.m,2,3,2,3,20,q,0,
0.74312,Experiment4Metamer_ResponseGroup2.m,1,1,1,2,19,p,0,
1.4302,Experiment4Metamer_ResponseGroup2.m,1,5,1,3,19,p,0,
0.64048,Experiment4Metamer_ResponseGroup2.m,1,5,1,4,19,p,0,
0.6368,Experiment4Metamer_ResponseGroup2.m,1,2,1,2,19,p,0,
1.023,Experiment4Metamer_ResponseGroup2.m,1,4,2,5,19,p,0,
0.80326,Experiment4Metamer_ResponseGroup2.m,1,4,2,2,19,p,0,
1.425,Experiment4Metamer_ResponseGroup2.m,2,5,1,2,20,q,0,
888,Experiment4Metamer_ResponseGroup2.m,1,1,1,3,888,888,888,
1.0844,Experiment4Metamer_ResponseGroup2.m,2,18,1,4,20,q,0,
0.73328,Experiment4Metamer_ResponseGroup2.m,2,5,2,13,20,q,0,
1.2667,Experiment4Metamer_ResponseGroup2.m,1,10,2,20,19,p,0,
1.8663,Experiment4Metamer_ResponseGroup2.m,1,16,2,13,19,p,0,
1.4711,Experiment4Metamer_ResponseGroup2.m,2,2,1,11,20,q,0,
1.11,Experiment4Metamer_ResponseGroup2.m,1,1,1,19,19,p,0,
0.72684,Experiment4Metamer_ResponseGroup2.m,2,4,2,11,20,q,0,
0.64395,Experiment4Metamer_ResponseGroup2.m,2,10,2,12,20,q,0,
0.59438,Experiment4Metamer_ResponseGroup2.m,1,8,1,2,19,p,0,
0.93853,Experiment4Metamer_ResponseGroup2.m,2,9,2,3,20,q,0,
1.0988,Experiment4Metamer_ResponseGroup2.m,2,10,1,12,20,q,0,
0.77666,Experiment4Metamer_ResponseGroup2.m,2,9,2,8,20,q,0,
0.64717,Experiment4Metamer_ResponseGroup2.m,1,8,1,20,19,p,0,
1.3676,Experiment4Metamer_ResponseGroup2.m,2,13,1,15,20,q,0,
0.72425,Experiment4Metamer_ResponseGroup2.m,1,3,2,14,19,p,0,
0.59335,Experiment4Metamer_ResponseGroup2.m,2,20,2,11,20,q,0,
0.78148,Experiment4Metamer_ResponseGroup2.m,2,2,2,20,20,q,0,
0.69206,Experiment4Metamer_ResponseGroup2.m,1,7,2,2,20,q,1,
0.87471,Experiment4Metamer_ResponseGroup2.m,2,8,2,6,20,q,0,
0.88277,Experiment4Metamer_ResponseGroup2.m,2,1,1,3,20,q,0,
1.3219,Experiment4Metamer_ResponseGroup2.m,1,12,2,12,19,p,0,
0.99148,Experiment4Metamer_ResponseGroup2.m,2,12,2,11,20,q,0,
0.69694,Experiment4Metamer_ResponseGroup2.m,2,20,2,4,20,q,0,
0.79928,Experiment4Metamer_ResponseGroup2.m,1,7,2,14,19,p,0,
0.75779,Experiment4Metamer_ResponseGroup2.m,1,19,2,8,19,p,0,
0.90087,Experiment4Metamer_ResponseGroup2.m,1,16,1,7,19,p,0,
0.74052,Experiment4Metamer_ResponseGroup2.m,1,12,1,15,19,p,0,
0.63309,Experiment4Metamer_ResponseGroup2.m,2,10,1,20,20,q,0,
0.8021,Experiment4Metamer_ResponseGroup2.m,1,16,1,11,19,p,0,
0.77055,Experiment4Metamer_ResponseGroup2.m,2,10,1,11,20,q,0,
0.68817,Experiment4Metamer_ResponseGroup2.m,1,20,2,17,19,p,0,
0.72411,Experiment4Metamer_ResponseGroup2.m,2,6,2,8,20,q,0,
0.68006,Experiment4Metamer_ResponseGroup2.m,2,5,1,9,20,q,0,
0.58027,Experiment4Metamer_ResponseGroup2.m,2,10,2,1,20,q,0,
0.41809,Experiment4Metamer_ResponseGroup2.m,1,3,1,18,19,p,0,
0.57936,Experiment4Metamer_ResponseGroup2.m,2,20,2,16,20,q,0,
0.70543,Experiment4Metamer_ResponseGroup2.m,2,18,1,10,20,q,0,
0.78621,Experiment4Metamer_ResponseGroup2.m,1,4,1,8,19,p,0,
0.6855,Experiment4Metamer_ResponseGroup2.m,2,5,1,16,20,q,0,
0.46733,Experiment4Metamer_ResponseGroup2.m,1,4,1,20,19,p,0,
0.73623,Experiment4Metamer_ResponseGroup2.m,1,6,1,1,20,q,1,
0.62017,Experiment4Metamer_ResponseGroup2.m,2,12,2,19,20,q,0,
0.74521,Experiment4Metamer_ResponseGroup2.m,2,8,2,10,20,q,0,
0.51028,Experiment4Metamer_ResponseGroup2.m,1,10,2,10,19,p,0,
0.57521,Experiment4Metamer_ResponseGroup2.m,2,19,2,7,20,q,0,
0.74095,Experiment4Metamer_ResponseGroup2.m,1,7,1,3,19,p,0,
0.82884,Experiment4Metamer_ResponseGroup2.m,1,5,2,10,19,p,0,
0.69677,Experiment4Metamer_ResponseGroup2.m,2,4,2,5,20,q,0,
0.93168,Experiment4Metamer_ResponseGroup2.m,2,9,1,17,20,q,0,
0.74308,Experiment4Metamer_ResponseGroup2.m,2,16,2,18,20,q,0,
0.56334,Experiment4Metamer_ResponseGroup2.m,1,7,2,20,19,p,0,
1.075,Experiment4Metamer_ResponseGroup2.m,1,4,2,8,19,p,0,
0.67693,Experiment4Metamer_ResponseGroup2.m,1,16,2,11,19,p,0,
0.72941,Experiment4Metamer_ResponseGroup2.m,1,11,1,14,19,p,0,
0.77757,Experiment4Metamer_ResponseGroup2.m,2,6,1,11,20,q,0,
0.90889,Experiment4Metamer_ResponseGroup2.m,2,1,1,4,20,q,0,
0.86654,Experiment4Metamer_ResponseGroup2.m,2,20,1,8,20,q,0,
0.57019,Experiment4Metamer_ResponseGroup2.m,2,19,2,5,20,q,0,
0.62218,Experiment4Metamer_ResponseGroup2.m,2,1,2,13,20,q,0,
0.52023,Experiment4Metamer_ResponseGroup2.m,1,17,2,3,20,q,1,
0.55013,Experiment4Metamer_ResponseGroup2.m,2,13,1,11,19,p,1,
0.88969,Experiment4Metamer_ResponseGroup2.m,2,11,1,18,20,q,0,
0.57156,Experiment4Metamer_ResponseGroup2.m,1,8,1,8,19,p,0,
0.65379,Experiment4Metamer_ResponseGroup2.m,1,6,1,20,19,p,0,
0.61228,Experiment4Metamer_ResponseGroup2.m,2,19,1,10,20,q,0,
0.52061,Experiment4Metamer_ResponseGroup2.m,1,8,1,7,19,p,0,
0.56802,Experiment4Metamer_ResponseGroup2.m,2,8,1,3,20,q,0,
0.54706,Experiment4Metamer_ResponseGroup2.m,1,11,2,8,19,p,0,
0.67026,Experiment4Metamer_ResponseGroup2.m,2,17,1,11,20,q,0,
0.78128,Experiment4Metamer_ResponseGroup2.m,2,6,1,15,19,p,1,
0.69335,Experiment4Metamer_ResponseGroup2.m,2,18,1,5,20,q,0,
0.62046,Experiment4Metamer_ResponseGroup2.m,1,19,2,1,19,p,0,
0.56433,Experiment4Metamer_ResponseGroup2.m,2,1,2,15,20,q,0,
0.71915,Experiment4Metamer_ResponseGroup2.m,2,12,2,17,20,q,0,
0.88836,Experiment4Metamer_ResponseGroup2.m,2,14,2,16,20,q,0,
0.92399,Experiment4Metamer_ResponseGroup2.m,1,9,2,7,19,p,0,
0.62784,Experiment4Metamer_ResponseGroup2.m,2,15,1,13,20,q,0,
0.58283,Experiment4Metamer_ResponseGroup2.m,1,7,1,15,19,p,0,
0.79513,Experiment4Metamer_ResponseGroup2.m,2,2,2,19,20,q,0,
0.69764,Experiment4Metamer_ResponseGroup2.m,2,19,1,6,19,p,1,
0.61671,Experiment4Metamer_ResponseGroup2.m,2,9,2,17,20,q,0,
0.58268,Experiment4Metamer_ResponseGroup2.m,2,11,1,20,20,q,0,
0.58213,Experiment4Metamer_ResponseGroup2.m,2,12,1,13,20,q,0,
0.59647,Experiment4Metamer_ResponseGroup2.m,2,3,2,7,19,p,1,
0.95674,Experiment4Metamer_ResponseGroup2.m,1,20,1,14,19,p,0,
0.74647,Experiment4Metamer_ResponseGroup2.m,1,15,2,1,19,p,0,
1.0043,Experiment4Metamer_ResponseGroup2.m,2,1,2,4,20,q,0,
1.0552,Experiment4Metamer_ResponseGroup2.m,2,1,1,2,20,q,0,
1.324,Experiment4Metamer_ResponseGroup2.m,2,8,2,12,20,q,0,
0.97135,Experiment4Metamer_ResponseGroup2.m,2,5,1,14,20,q,0,
1.1376,Experiment4Metamer_ResponseGroup2.m,2,10,2,15,20,q,0,
0.82087,Experiment4Metamer_ResponseGroup2.m,2,19,1,19,20,q,0,
0.81749,Experiment4Metamer_ResponseGroup2.m,1,10,2,15,19,p,0,
0.87123,Experiment4Metamer_ResponseGroup2.m,2,17,1,19,20,q,0,
