RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,
1.5333,Experiment4Metamer_ResponseGroup1.m,1,5,1,5,20,q,0,
1.9598,Experiment4Metamer_ResponseGroup1.m,1,2,1,2,20,q,0,
1.6635,Experiment4Metamer_ResponseGroup1.m,1,5,2,2,20,q,0,
888,Experiment4Metamer_ResponseGroup1.m,1,1,2,1,888,888,888,
1.2501,Experiment4Metamer_ResponseGroup1.m,2,1,1,5,19,p,0,
1.1794,Experiment4Metamer_ResponseGroup1.m,2,1,1,1,19,p,0,
1.0887,Experiment4Metamer_ResponseGroup1.m,2,2,2,3,19,p,0,
0.83708,Experiment4Metamer_ResponseGroup1.m,1,1,1,1,20,q,0,
0.85536,Experiment4Metamer_ResponseGroup1.m,2,2,2,1,19,p,0,
1.0679,Experiment4Metamer_ResponseGroup1.m,1,1,2,4,20,q,0,
1.2873,Experiment4Metamer_ResponseGroup1.m,1,2,2,13,20,q,0,
888,Experiment4Metamer_ResponseGroup1.m,2,17,2,13,888,888,888,
1.3007,Experiment4Metamer_ResponseGroup1.m,2,14,2,11,19,p,0,
0.90418,Experiment4Metamer_ResponseGroup1.m,2,6,2,12,19,p,0,
0.86367,Experiment4Metamer_ResponseGroup1.m,2,7,2,5,19,p,0,
1.2745,Experiment4Metamer_ResponseGroup1.m,1,10,1,4,20,q,0,
0.70684,Experiment4Metamer_ResponseGroup1.m,1,2,1,4,19,p,1,
1.4757,Experiment4Metamer_ResponseGroup1.m,2,3,2,19,19,p,0,
1.3511,Experiment4Metamer_ResponseGroup1.m,2,12,1,19,19,p,0,
1.3572,Experiment4Metamer_ResponseGroup1.m,2,2,1,19,19,p,0,
0.78951,Experiment4Metamer_ResponseGroup1.m,1,8,2,14,20,q,0,
0.88909,Experiment4Metamer_ResponseGroup1.m,2,12,2,1,19,p,0,
0.96452,Experiment4Metamer_ResponseGroup1.m,1,3,2,11,20,q,0,
1.8638,Experiment4Metamer_ResponseGroup1.m,2,3,1,8,19,p,0,
1.1233,Experiment4Metamer_ResponseGroup1.m,1,9,1,11,20,q,0,
0.72368,Experiment4Metamer_ResponseGroup1.m,2,19,2,2,19,p,0,
888,Experiment4Metamer_ResponseGroup1.m,2,8,1,10,888,888,888,
0.99837,Experiment4Metamer_ResponseGroup1.m,1,13,1,6,20,q,0,
0.77957,Experiment4Metamer_ResponseGroup1.m,2,3,2,15,19,p,0,
1.9476,Experiment4Metamer_ResponseGroup1.m,1,11,2,6,20,q,0,
0.93834,Experiment4Metamer_ResponseGroup1.m,2,3,2,16,19,p,0,
888,Experiment4Metamer_ResponseGroup1.m,2,6,1,4,888,888,888,
1.8293,Experiment4Metamer_ResponseGroup1.m,1,2,1,17,20,q,0,
0.79246,Experiment4Metamer_ResponseGroup1.m,1,13,1,9,20,q,0,
1.0083,Experiment4Metamer_ResponseGroup1.m,2,14,2,18,19,p,0,
0.83557,Experiment4Metamer_ResponseGroup1.m,2,8,1,6,20,q,1,
1.1447,Experiment4Metamer_ResponseGroup1.m,2,6,2,3,19,p,0,
1.0536,Experiment4Metamer_ResponseGroup1.m,2,10,2,10,19,p,0,
0.77188,Experiment4Metamer_ResponseGroup1.m,1,9,2,16,20,q,0,
0.68747,Experiment4Metamer_ResponseGroup1.m,1,20,1,3,20,q,0,
0.70078,Experiment4Metamer_ResponseGroup1.m,1,15,1,2,20,q,0,
0.6465,Experiment4Metamer_ResponseGroup1.m,2,2,1,10,19,p,0,
1.0026,Experiment4Metamer_ResponseGroup1.m,2,11,2,10,19,p,0,
0.76543,Experiment4Metamer_ResponseGroup1.m,1,1,2,3,20,q,0,
0.67205,Experiment4Metamer_ResponseGroup1.m,2,11,2,16,19,p,0,
0.84416,Experiment4Metamer_ResponseGroup1.m,2,19,2,3,19,p,0,
0.59641,Experiment4Metamer_ResponseGroup1.m,1,12,2,17,20,q,0,
0.93814,Experiment4Metamer_ResponseGroup1.m,2,16,2,10,19,p,0,
0.90477,Experiment4Metamer_ResponseGroup1.m,1,17,1,8,20,q,0,
1.3678,Experiment4Metamer_ResponseGroup1.m,2,13,2,20,19,p,0,
0.64899,Experiment4Metamer_ResponseGroup1.m,1,8,2,17,20,q,0,
0.66084,Experiment4Metamer_ResponseGroup1.m,2,3,2,8,19,p,0,
0.81891,Experiment4Metamer_ResponseGroup1.m,2,17,2,12,19,p,0,
0.62203,Experiment4Metamer_ResponseGroup1.m,1,19,2,1,20,q,0,
0.91364,Experiment4Metamer_ResponseGroup1.m,2,1,2,8,19,p,0,
0.61643,Experiment4Metamer_ResponseGroup1.m,2,1,2,6,19,p,0,
0.59439,Experiment4Metamer_ResponseGroup1.m,2,13,2,19,19,p,0,
0.76741,Experiment4Metamer_ResponseGroup1.m,2,5,1,13,19,p,0,
1.0792,Experiment4Metamer_ResponseGroup1.m,1,17,2,1,20,q,0,
0.82837,Experiment4Metamer_ResponseGroup1.m,1,16,1,2,20,q,0,
0.65965,Experiment4Metamer_ResponseGroup1.m,1,5,2,17,20,q,0,
1.1023,Experiment4Metamer_ResponseGroup1.m,2,8,1,9,19,p,0,
0.71427,Experiment4Metamer_ResponseGroup1.m,1,16,1,2,20,q,0,
0.6677,Experiment4Metamer_ResponseGroup1.m,1,11,2,7,20,q,0,
0.63627,Experiment4Metamer_ResponseGroup1.m,2,12,2,5,19,p,0,
888,Experiment4Metamer_ResponseGroup1.m,1,20,1,10,888,888,888,
0.7024,Experiment4Metamer_ResponseGroup1.m,2,3,1,4,19,p,0,
0.7664,Experiment4Metamer_ResponseGroup1.m,1,17,2,11,20,q,0,
0.75721,Experiment4Metamer_ResponseGroup1.m,2,15,2,8,19,p,0,
0.77185,Experiment4Metamer_ResponseGroup1.m,1,5,1,18,20,q,0,
0.81059,Experiment4Metamer_ResponseGroup1.m,2,4,1,10,19,p,0,
0.58404,Experiment4Metamer_ResponseGroup1.m,2,1,1,17,19,p,0,
1.0067,Experiment4Metamer_ResponseGroup1.m,2,5,2,20,20,q,1,
1.4317,Experiment4Metamer_ResponseGroup1.m,1,2,2,9,20,q,0,
0.64268,Experiment4Metamer_ResponseGroup1.m,2,18,1,19,19,p,0,
1.1129,Experiment4Metamer_ResponseGroup1.m,2,13,1,14,20,q,1,
0.85014,Experiment4Metamer_ResponseGroup1.m,1,17,1,7,20,q,0,
0.75593,Experiment4Metamer_ResponseGroup1.m,2,20,1,2,19,p,0,
0.81287,Experiment4Metamer_ResponseGroup1.m,2,9,1,14,19,p,0,
0.84228,Experiment4Metamer_ResponseGroup1.m,2,15,2,19,19,p,0,
0.81787,Experiment4Metamer_ResponseGroup1.m,2,5,2,17,19,p,0,
0.7118,Experiment4Metamer_ResponseGroup1.m,2,7,1,1,19,p,0,
0.60069,Experiment4Metamer_ResponseGroup1.m,1,15,1,10,19,p,1,
1.0793,Experiment4Metamer_ResponseGroup1.m,2,17,2,4,19,p,0,
0.9537,Experiment4Metamer_ResponseGroup1.m,1,20,1,2,20,q,0,
0.79072,Experiment4Metamer_ResponseGroup1.m,2,14,2,20,19,p,0,
1.0786,Experiment4Metamer_ResponseGroup1.m,2,20,2,14,19,p,0,
0.74648,Experiment4Metamer_ResponseGroup1.m,1,6,2,9,20,q,0,
0.75449,Experiment4Metamer_ResponseGroup1.m,1,2,2,8,20,q,0,
0.62271,Experiment4Metamer_ResponseGroup1.m,2,16,1,17,19,p,0,
0.93007,Experiment4Metamer_ResponseGroup1.m,1,1,1,13,20,q,0,
0.79022,Experiment4Metamer_ResponseGroup1.m,2,2,1,4,19,p,0,
0.82448,Experiment4Metamer_ResponseGroup1.m,2,15,2,15,19,p,0,
0.69743,Experiment4Metamer_ResponseGroup1.m,2,15,2,14,19,p,0,
0.82836,Experiment4Metamer_ResponseGroup1.m,2,8,2,10,19,p,0,
0.62278,Experiment4Metamer_ResponseGroup1.m,1,12,1,18,20,q,0,
0.90445,Experiment4Metamer_ResponseGroup1.m,1,18,2,18,20,q,0,
0.67201,Experiment4Metamer_ResponseGroup1.m,1,12,1,16,20,q,0,
1.0517,Experiment4Metamer_ResponseGroup1.m,2,19,2,9,19,p,0,
0.53598,Experiment4Metamer_ResponseGroup1.m,2,19,2,16,19,p,0,
0.73067,Experiment4Metamer_ResponseGroup1.m,1,14,2,7,20,q,0,
1.0343,Experiment4Metamer_ResponseGroup1.m,2,20,2,6,19,p,0,
1.5745,Experiment4Metamer_ResponseGroup1.m,1,16,1,13,20,q,0,
0.59843,Experiment4Metamer_ResponseGroup1.m,2,18,1,3,19,p,0,
0.72047,Experiment4Metamer_ResponseGroup1.m,2,6,1,20,19,p,0,
0.54653,Experiment4Metamer_ResponseGroup1.m,1,15,2,6,20,q,0,
1.4976,Experiment4Metamer_ResponseGroup1.m,1,14,1,14,20,q,0,
0.59105,Experiment4Metamer_ResponseGroup1.m,1,15,2,7,20,q,0,
0.57632,Experiment4Metamer_ResponseGroup1.m,2,9,1,4,19,p,0,
0.67554,Experiment4Metamer_ResponseGroup1.m,1,8,2,5,20,q,0,
1.0323,Experiment4Metamer_ResponseGroup1.m,2,14,2,14,19,p,0,
