RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,
0.18638,Experiment4Metamer_ResponseGroup1.m,1,5,1,5,19,p,1,
0.79692,Experiment4Metamer_ResponseGroup1.m,1,2,1,2,20,q,0,
0.57683,Experiment4Metamer_ResponseGroup1.m,1,5,2,2,20,q,0,
0.75629,Experiment4Metamer_ResponseGroup1.m,1,1,2,1,20,q,0,
0.70782,Experiment4Metamer_ResponseGroup1.m,2,1,1,5,19,p,0,
0.76849,Experiment4Metamer_ResponseGroup1.m,2,1,1,1,19,p,0,
0.83805,Experiment4Metamer_ResponseGroup1.m,2,2,2,3,19,p,0,
0.60781,Experiment4Metamer_ResponseGroup1.m,1,1,1,1,20,q,0,
0.57163,Experiment4Metamer_ResponseGroup1.m,2,2,2,1,19,p,0,
0.61282,Experiment4Metamer_ResponseGroup1.m,1,1,2,4,20,q,0,
1.0496,Experiment4Metamer_ResponseGroup1.m,1,2,2,13,20,q,0,
0.89591,Experiment4Metamer_ResponseGroup1.m,2,17,2,13,19,p,0,
0.96819,Experiment4Metamer_ResponseGroup1.m,2,14,2,11,19,p,0,
0.93726,Experiment4Metamer_ResponseGroup1.m,2,6,2,12,20,q,1,
0.91183,Experiment4Metamer_ResponseGroup1.m,2,7,2,5,19,p,0,
0.64892,Experiment4Metamer_ResponseGroup1.m,1,10,1,4,20,q,0,
0.52497,Experiment4Metamer_ResponseGroup1.m,1,2,1,4,20,q,0,
0.72625,Experiment4Metamer_ResponseGroup1.m,2,3,2,19,19,p,0,
0.73056,Experiment4Metamer_ResponseGroup1.m,2,12,1,19,19,p,0,
0.84922,Experiment4Metamer_ResponseGroup1.m,2,2,1,19,19,p,0,
0.66091,Experiment4Metamer_ResponseGroup1.m,1,8,2,14,19,p,1,
0.70471,Experiment4Metamer_ResponseGroup1.m,2,12,2,1,19,p,0,
0.74038,Experiment4Metamer_ResponseGroup1.m,1,3,2,11,20,q,0,
0.73391,Experiment4Metamer_ResponseGroup1.m,2,3,1,8,19,p,0,
1.0881,Experiment4Metamer_ResponseGroup1.m,1,9,1,11,20,q,0,
0.73737,Experiment4Metamer_ResponseGroup1.m,2,19,2,2,19,p,0,
